食品名,エネルギー（kcal）
アマランサス　玄穀,343
あわ　精白粒,346
あわ　あわもち,210
えんばく　オートミール,350
おおむぎ　七分つき押麦,343
おおむぎ　押麦　乾,329
おおむぎ　押麦　めし,118
おおむぎ　米粒麦,333
おおむぎ　大麦めん　乾,343
おおむぎ　大麦めん　ゆで,121
おおむぎ　麦こがし,368
キヌア　玄穀,344
きび　精白粒,353
こむぎ　［玄穀］　国産　普通,329
こむぎ　［玄穀］　輸入　軟質,344
こむぎ　［玄穀］　輸入　硬質,332
こむぎ　［小麦粉］　薄力粉　1等,349
こむぎ　［小麦粉］　薄力粉　2等,345
こむぎ　［小麦粉］　中力粉　1等,337
こむぎ　［小麦粉］　中力粉　2等,346
こむぎ　［小麦粉］　強力粉　1等,337
こむぎ　［小麦粉］　強力粉　2等,343
こむぎ　［小麦粉］　強力粉　全粒粉,320
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588
こむぎ　［パン類］　角形食パン　食パン,248
こむぎ　［パン類］　角形食パン　焼き,269
こむぎ　［パン類］　角形食パン　耳を除いたもの,226
こむぎ　［パン類］　角形食パン　耳,273
こむぎ　［パン類］　食パン　リーンタイプ,246
こむぎ　［パン類］　食パン　リッチタイプ,256
こむぎ　［パン類］　山形食パン　食パン,246
こむぎ　［パン類］　コッペパン,259
こむぎ　［パン類］　乾パン,386
こむぎ　［パン類］　フランスパン,289
こむぎ　［パン類］　ライ麦パン,252
こむぎ　［パン類］　全粒粉パン,251
こむぎ　［パン類］　ぶどうパン,263
こむぎ　［パン類］　ロールパン,309
こむぎ　［パン類］　クロワッサン　レギュラータイプ,406
こむぎ　［パン類］　クロワッサン　リッチタイプ,438
こむぎ　［パン類］　くるみパン,292
こむぎ　［パン類］　イングリッシュマフィン,224
こむぎ　［パン類］　ナン,257
こむぎ　［パン類］　ベーグル,270
こむぎ　［うどん・そうめん類］　うどん　生,249
こむぎ　［うどん・そうめん類］　うどん　ゆで,95
こむぎ　［うどん・そうめん類］　うどん　半生うどん,296
こむぎ　［うどん・そうめん類］　干しうどん　乾,333
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119
こむぎ　［中華めん類］　中華めん　生,249
こむぎ　［中華めん類］　中華めん　ゆで,133
こむぎ　［中華めん類］　半生中華めん　,305
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162
こむぎ　［中華めん類］　蒸し中華めん  ソテー,211
こむぎ　［中華めん類］　干し中華めん　乾,337
こむぎ　［中華めん類］　干し中華めん　ゆで,131
こむぎ　［中華めん類］　沖縄そば　生,266
こむぎ　［中華めん類］　沖縄そば　ゆで,132
こむぎ　［中華めん類］　干し沖縄そば　乾,317
こむぎ　［中華めん類］　干し沖縄そば　ゆで,132
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232
こむぎ　［ふ類］　生ふ,161
こむぎ　［ふ類］　焼きふ　釜焼きふ,357
こむぎ　［ふ類］　焼きふ　板ふ,351
こむぎ　［ふ類］　焼きふ　車ふ,361
こむぎ　［ふ類］　油ふ,547
こむぎ　［その他］　小麦はいが,391
こむぎ　［その他］　小麦たんぱく　粉末状,398
こむぎ　［その他］　小麦たんぱく　粒状,101
こむぎ　［その他］　小麦たんぱく　ペースト状,145
こむぎ　［その他］　かやきせんべい,359
こむぎ　［その他］　ぎょうざの皮　生,275
こむぎ　［その他］　しゅうまいの皮　生,275
こむぎ　［その他］　春巻きの皮　生,288
こむぎ　［その他］　春巻きの皮　揚げ,512
こむぎ　［その他］　ピザ生地,265
こむぎ　［その他］　ちくわぶ,160
こむぎ　［その他］　パン粉　生,277
こむぎ　［その他］　パン粉　半生,315
こむぎ　［その他］　パン粉　乾燥,369
こむぎ　［その他］　冷めん　生,249
こめ　［水稲穀粒］　玄米,346
こめ　［水稲穀粒］　半つき米,345
こめ　［水稲穀粒］　七分つき米,348
こめ　［水稲穀粒］　精白米　うるち米,342
こめ　［水稲穀粒］　精白米　もち米,343
こめ　［水稲穀粒］　精白米　インディカ米,347
こめ　［水稲穀粒］　はいが精米,343
こめ　［水稲穀粒］　発芽玄米,339
こめ　［水稲穀粒］　赤米,344
こめ　［水稲穀粒］　黒米,341
こめ　［水稲めし］　玄米,152
こめ　［水稲めし］　半つき米,154
こめ　［水稲めし］　七分つき米,160
こめ　［水稲めし］　精白米　インディカ米,184
こめ　［水稲めし］　精白米　うるち米,156
こめ　［水稲めし］　精白米　もち米,188
こめ　［水稲めし］　はいが精米,159
こめ　［水稲めし］　発芽玄米,161
こめ　［水稲めし］　赤米,150
こめ　［水稲めし］　黒米,150
こめ　［水稲軟めし］　精白米,113
こめ　［水稲全かゆ］　玄米,64
こめ　［水稲全かゆ］　半つき米,65
こめ　［水稲全かゆ］　七分つき米,68
こめ　［水稲全かゆ］　精白米,65
こめ　［水稲五分かゆ］　玄米,32
こめ　［水稲五分かゆ］　半つき米,32
こめ　［水稲五分かゆ］　七分つき米,32
こめ　［水稲五分かゆ］　精白米,33
こめ　［水稲おもゆ］　玄米,19
こめ　［水稲おもゆ］　半つき米,19
こめ　［水稲おもゆ］　七分つき米,20
こめ　［水稲おもゆ］　精白米,19
こめ　［陸稲穀粒］　玄米,357
こめ　［陸稲穀粒］　半つき米,356
こめ　［陸稲穀粒］　七分つき米,359
こめ　［陸稲穀粒］　精白米,331
こめ　［陸稲めし］　玄米,156
こめ　［陸稲めし］　半つき米,157
こめ　［陸稲めし］　七分つき米,155
こめ　［陸稲めし］　精白米,157
こめ　［うるち米製品］　アルファ化米　一般用,358
こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358
こめ　［うるち米製品］　おにぎり,170
こめ　［うるち米製品］　焼きおにぎり,166
こめ　［うるち米製品］　きりたんぽ,200
こめ　［うるち米製品］　上新粉,343
こめ　［うるち米製品］　玄米粉,370
こめ　［うるち米製品］　米粉,356
こめ　［うるち米製品］　米粉パン　食パン,247
こめ　［うるち米製品］　米粉パン　ロールパン,256
こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247
こめ　［うるち米製品］　米粉めん,252
こめ　［うるち米製品］　ビーフン,360
こめ　［うるち米製品］　ライスペーパー,339
こめ　［うるち米製品］　米こうじ,260
こめ　［もち米製品］　もち,223
こめ　［もち米製品］　赤飯,186
こめ　［もち米製品］　あくまき,131
こめ　［もち米製品］　白玉粉,347
こめ　［もち米製品］　道明寺粉,349
こめ　［その他］　米ぬか,374
そば　そば粉　全層粉,339
そば　そば粉　内層粉,342
そば　そば粉　中層粉,334
そば　そば粉　表層粉,337
そば　そば米,347
そば　そば　生,271
そば　そば　ゆで,130
そば　そば　半生そば,325
そば　干しそば　乾,344
そば　干しそば　ゆで,113
とうもろこし　玄穀　黄色種,341
とうもろこし　玄穀　白色種,341
とうもろこし　コーンミール　黄色種,375
とうもろこし　コーンミール　白色種,375
とうもろこし　コーングリッツ　黄色種,352
とうもろこし　コーングリッツ　白色種,352
とうもろこし　コーンフラワー　黄色種,347
とうもろこし　コーンフラワー　白色種,347
とうもろこし　ジャイアントコーン　フライ　味付け,409
とうもろこし　ポップコーン,472
とうもろこし　コーンフレーク,380
はとむぎ　精白粒,353
ひえ　精白粒,361
もろこし　玄穀,344
もろこし　精白粒,348
ライむぎ　全粒粉,317
ライむぎ　ライ麦粉,324
＜いも類＞　アメリカほどいも　塊根　生,146
＜いも類＞　アメリカほどいも　塊根　ゆで,144
＜いも類＞　きくいも　塊茎　生,66
＜いも類＞　きくいも　塊茎　水煮,51
＜いも類＞　こんにゃく　精粉,194
＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,5
＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,8
＜いも類＞　こんにゃく　赤こんにゃく,6
＜いも類＞　こんにゃく　凍みこんにゃく　乾,192
＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,42
＜いも類＞　こんにゃく　しらたき,7
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,127
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,129
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,205
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,126
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,131
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,151
＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,277
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,123
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,122
＜いも類＞　（さといも類）　さといも　球茎　生,53
＜いも類＞　（さといも類）　さといも　球茎　水煮,52
＜いも類＞　（さといも類）　さといも　球茎　冷凍,69
＜いも類＞　（さといも類）　セレベス　球茎　生,80
＜いも類＞　（さといも類）　セレベス　球茎　水煮,77
＜いも類＞　（さといも類）　たけのこいも　球茎　生,97
＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,86
＜いも類＞　（さといも類）　みずいも　球茎　生,111
＜いも類＞　（さといも類）　みずいも　球茎　水煮,101
＜いも類＞　（さといも類）　やつがしら　球茎　生,94
＜いも類＞　（さといも類）　やつがしら　球茎　水煮,92
＜いも類＞　じゃがいも　塊茎　皮つき　生,51
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,78
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,153
＜いも類＞　じゃがいも　塊茎　皮なし　生,59
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,71
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,76
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,159
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,229
＜いも類＞　じゃがいも　乾燥マッシュポテト,347
＜いも類＞　ヤーコン　塊根　生,52
＜いも類＞　ヤーコン　塊根　水煮,42
＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,108
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,64
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,58
＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,119
＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,118
＜いも類＞　（やまのいも類）　だいじょ　塊根　生,102
＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,327
＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,354
＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,356
＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,375
＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,360
＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,357
